tf,candidate_tier,gene_set_type,query_label,source,term,query_size,term_size,overlap_count,overlap_ratio,fold_enrichment,p_value,overlap_genes,fdr_bh
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Pathways in cancer,458,529,36,0.07860262008733625,5.438439504379194,2.605145373297741e-16,ABL1;ARNT;BCL2L1;CAMK2D;CCNA1;CDK6;CTBP2;CTNNA1;CUL1;DAPK1;ESR1;FGFR2;GNA13;GNG10;GRB2;HHIP;HSP90B1;ITGAV;JAK1;LPAR1;MAP2K1;MECOM;MITF;MYC;NCOA3;NFE2L2;NFKB1;PLD1;PPARG;PRKCA;RUNX1;SMAD2;SMAD4;STAT3;TGFB2;XIAP,6.304451803380534e-14
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,MAPK signaling pathway,458,293,22,0.048034934497816595,6.000432210083908,2.7646716109127557e-11,CACNA1D;FGFR2;GRB2;HSPA2;MAP2K1;MAP3K3;MAP3K4;MAP3K8;MAP4K4;MECOM;MYC;NFATC1;NFKB1;PDGFC;PPP3R1;PRKCA;RAP1A;RAP1B;RASA2;TAB2;TAOK3;TGFB2,3.3452526492044345e-09
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Endocytosis,458,251,20,0.043668122270742356,6.367716905304546,7.698732646544427e-11,ACAP2;ACTR3;ASAP1;CHMP3;CLTC;CYTH1;FGFR2;HSPA2;KIF5B;PARD3;PLD1;RAB31;RAB7A;SMAD2;TFRC;VPS26A;VPS45;WASL;WIPF1;WWP1,6.210311001545838e-09
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Chronic myeloid leukemia,458,76,12,0.026200873362445413,12.618133762353482,1.9219390496389254e-10,ABL1;BCL2L1;CDK6;CTBP2;GRB2;MAP2K1;MECOM;MYC;NFKB1;RUNX1;SMAD4;TGFB2,1.16277312503155e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,MicroRNAs in cancer,458,160,15,0.03275109170305677,7.49201692139738,1.971063296743372e-09,ABL1;CDK6;EZR;GLS;GRB2;MAP2K1;MYC;NFKB1;PRKCA;RDX;SPRY2;STAT3;TGFB2;ZEB1;ZEB2,9.539946356237922e-08
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Human T-cell leukemia virus 1 infection,458,217,17,0.03711790393013101,6.260610146298272,2.645660575497576e-09,ANAPC1;ANAPC10;BCL2L1;CCNA1;EGR2;JAK1;MAP2K1;MAP3K3;MYC;NFATC1;NFKB1;NRP1;PPP3R1;SMAD2;SMAD4;TGFB2;XIAP,1.043186239397317e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Viral carcinogenesis,458,165,15,0.03275109170305677,7.264986105597459,3.017480857760834e-09,CCNA1;CDK6;EGR2;GRB2;GTF2A1;JAK1;LYN;NFKB1;RASA2;RBPJ;REL;SND1;STAT3;SYK;YWHAZ,1.043186239397317e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Transcriptional misregulation in cancer,458,173,15,0.03275109170305677,6.929032990887751,5.782583332496529e-09,AFF1;BCL2L1;BMP2K;CCNA1;MAF;MITF;MYC;NFKB1;NFKBIZ;NR4A3;PPARG;REL;RUNX1;SS18;ZEB1,1.6204420532496503e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Cell cycle,458,124,13,0.028384279475982533,8.378169460487392,6.067892848506208e-09,ABL1;ANAPC1;ANAPC10;CCNA1;CDK6;CUL1;MYC;ORC4;SMAD2;SMAD4;STAG2;TGFB2;YWHAZ,1.6204420532496503e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Osteoclast differentiation,458,125,13,0.028384279475982533,8.311144104803493,6.696041542353926e-09,CYLD;GRB2;JAK1;MAP2K1;MITF;NFATC1;NFKB1;PPARG;PPP3R1;SYK;TAB2;TEC;TGFB2,1.6204420532496503e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Long-term potentiation,458,67,10,0.021834061135371178,11.927589128592844,1.1199965575440405e-08,CAMK2D;GRIA2;GRM5;ITPR2;MAP2K1;PPP3R1;PRKCA;RAP1A;RAP1B;RAPGEF3,2.4639924265968894e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Lipid and atherosclerosis,458,214,16,0.034934497816593885,5.974941843855854,1.510087842954954e-08,ABCA1;BCL2L1;CAMK2D;HSP90B1;HSPA2;LYN;NFATC1;NFE2L2;NFKB1;PPARG;PPP3R1;PRKCA;RAP1A;RAP1B;STAT3;TAB2,3.0453438166258236e-07
NFE2L2,primary_lesion_axis,regulon_targets,NFE2L2_regulon_targets,kegg,Hepatitis B,458,161,14,0.03056768558951965,6.949117144484527,1.7947370601448146e-08,CCNA1;EGR2;GRB2;JAK1;MAP2K1;MYC;NFATC1;NFKB1;PRKCA;SMAD4;STAT3;TAB2;TGFB2;YWHAZ,3.1777614156733024e-07
